№	Кодировка
1	0000000000000000
2	0000000000000001
3	0000000000000011
4	0000000000000110
5	0000000000000111
6	0000000000001111
7	0000000000010110
8	0000000000010111
9	0000000000011000
10	0000000000011001
11	0000000000011011
12	0000000000011110
13	0000000000011111
14	0000000000111100
15	0000000000111101
16	0000000000111111
17	0000000001101001
18	0000000001101011
19	0000000001101111
20	0000000001111110
21	0000000001111111
22	0000000011111111
23	0000000100010110
24	0000000100010111
25	0000000100011000
26	0000000100011001
27	0000000100011010
28	0000000100011011
29	0000000100011110
30	0000000100011111
31	0000000100101100
32	0000000100101101
33	0000000100101111
34	0000000100111100
35	0000000100111101
36	0000000100111110
37	0000000100111111
38	0000000101101000
39	0000000101101001
40	0000000101101010
41	0000000101101011
42	0000000101101110
43	0000000101101111
44	0000000101111110
45	0000000101111111
46	0000000110000000
47	0000000110000001
48	0000000110000010
49	0000000110000011
50	0000000110000110
51	0000000110000111
52	0000000110001001
53	0000000110001011
54	0000000110001111
55	0000000110010110
56	0000000110010111
57	0000000110011000
58	0000000110011001
59	0000000110011010
60	0000000110011011
61	0000000110011110
62	0000000110011111
63	0000000110101000
64	0000000110101001
65	0000000110101010
66	0000000110101011
67	0000000110101100
68	0000000110101101
69	0000000110101110
70	0000000110101111
71	0000000110111100
72	0000000110111101
73	0000000110111110
74	0000000110111111
75	0000000111101000
76	0000000111101001
77	0000000111101010
78	0000000111101011
79	0000000111101110
80	0000000111101111
81	0000000111111110
82	0000000111111111
83	0000001100111100
84	0000001100111101
85	0000001100111111
86	0000001101010110
87	0000001101010111
88	0000001101011000
89	0000001101011001
90	0000001101011010
91	0000001101011011
92	0000001101011110
93	0000001101011111
94	0000001101101000
95	0000001101101001
96	0000001101101010
97	0000001101101011
98	0000001101101100
99	0000001101101101
100	0000001101101110
101	0000001101101111
102	0000001101111100
103	0000001101111101
104	0000001101111110
105	0000001101111111
106	0000001111000000
107	0000001111000001
108	0000001111000011
109	0000001111000101
110	0000001111000110
111	0000001111000111
